# Weather station Umaria, India, WMO_ID=42679,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42679&lang=en
#
"Local time in Umaria";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.6";"720.3";"759.7";"";"46";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"26.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.3";"";"";"";"";"";"";
"31.12.2017 08:30";"9.6";"723.8";"765.1";"";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"7.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.1";"";"";"";"";"";"";
"30.12.2017 17:30";"23.2";"721.4";"760.6";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"30.12.2017 08:30";"8.0";"724.1";"765.6";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"5.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.3";"";"";"";"";"";"";
"29.12.2017 17:30";"25.0";"721.6";"760.6";"";"28";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"29.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.4";"";"";"";"";"";"";
"29.12.2017 08:30";"7.2";"724.3";"766.0";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"5.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.4";"";"";"";"";"";"";
"28.12.2017 17:30";"23.6";"721.6";"760.8";"";"26";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.9";"";"";"";"";"";"";
"28.12.2017 08:30";"7.6";"723.8";"765.4";"";"75";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"4.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"3.4";"";"";"";"";"";"";
"27.12.2017 17:30";"23.4";"722.5";"761.7";"";"29";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.5";"";"";"";"";"";"";
"27.12.2017 08:30";"7.0";"723.5";"765.2";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"4.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.2";"";"";"";"";"";"";
"26.12.2017 17:30";"21.8";"723.3";"762.8";"";"39";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.1";"";"";"";"";"";"";
"26.12.2017 08:30";"7.2";"724.5";"766.2";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"4.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.4";"";"";"";"";"";"";
"25.12.2017 17:30";"22.8";"722.1";"761.4";"";"26";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.1";"";"";"";"";"";"";
"25.12.2017 08:30";"9.4";"724.5";"765.8";"";"79";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"6.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.9";"";"";"";"";"";"";
"24.12.2017 17:30";"23.6";"721.4";"760.5";"";"31";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"5.4";"";"";"";"";"";"";
"24.12.2017 08:30";"8.8";"723.7";"765.1";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"5.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.7";"";"";"";"";"";"";
"23.12.2017 17:30";"23.2";"721.7";"760.9";"";"30";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.8";"";"";"";"";"";"";
"23.12.2017 08:30";"10.2";"723.7";"764.9";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"6.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"8.6";"";"";"";"";"";"";
