# Weather station Betul, India, WMO_ID=42860,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42860&lang=en
#
"Local time in Betul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"25.4";"702.1";"755.8";"";"25";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"10.0";"3.9";"";"";"";"";"";"";
"31.12.2017 08:30";"14.6";"705.4";"761.5";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"10.0";"9.6";"";"";"";"";"";"";
"30.12.2017 17:30";"25.6";"703.6";"757.4";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"30.12.2017 08:30";"13.0";"706.0";"762.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"30.12.2017 05:30";"13.0";"706.0";"762.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"29.12.2017 17:30";"25.4";"704.2";"758.0";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"29.12.2017 08:30";"12.4";"706.0";"762.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"20.0";"7.3";"";"";"";"";"";"";
"28.12.2017 17:30";"26.2";"703.9";"757.5";"";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"28.12.2017 08:30";"12.8";"706.0";"762.5";"";"69";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"27.12.2017 17:30";"25.2";"704.2";"757.9";"";"26";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"27.12.2017 08:30";"10.4";"706.8";"763.8";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.2";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"26.12.2017 17:30";"24.2";"705.1";"759.1";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"10.0";"4.8";"";"";"";"";"";"";
"26.12.2017 08:30";"10.4";"707.3";"764.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.2";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"25.12.2017 17:30";"23.8";"704.7";"758.9";"";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"25.12.2017 08:30";"13.2";"705.8";"762.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.7";"";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"24.12.2017 08:30";"14.0";"706.0";"761.9";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"23.12.2017 17:30";"25.6";"704.1";"757.9";"";"38";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.1";"";"";"";"";"";"";
"23.12.2017 08:30";"13.8";"706.1";"762.4";"";"79";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"8.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.1";"";"";"";"";"";"";
"22.12.2017 17:30";"24.8";"706.0";"760.2";"";"43";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"25.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"11.2";"";"";"";"";"";"";
"22.12.2017 08:30";"13.2";"708.1";"764.5";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"8.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"10.3";"";"";"";"";"";"";
"21.12.2017 17:30";"26.4";"706.7";"758.3";"";"33";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"8.9";"";"";"";"";"";"";
"21.12.2017 08:30";"12.4";"708.7";"765.4";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"20.12.2017 17:30";"25.6";"706.0";"760.0";"";"32";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"7.6";"";"";"";"";"";"";
