# Weather station Seoni, India, WMO_ID=42771,selection from 31.05.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42771&lang=en
#
"Local time in Seoni";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.0";"705.2";"757.2";"";"44";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.0";"";"";"";"";"";"";
"31.12.2017 08:30";"14.4";"708.1";"762.1";"";"67";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"11.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.4";"";"";"";"";"";"";
"30.12.2017 17:30";"25.0";"706.8";"758.7";"";"45";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.3";"";"";"";"";"";"";
"30.12.2017 08:30";"15.0";"709.3";"763.3";"";"60";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.3";"";"";"";"";"";"";
"30.12.2017 05:30";"15.0";"709.3";"763.3";"";"60";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"11.0";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.3";"";"";"";"";"";"";
"29.12.2017 17:30";"24.0";"707.3";"759.5";"";"51";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.1";"";"";"";"";"";"";
"29.12.2017 08:30";"13.4";"709.0";"763.3";"";"60";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"28.12.2017 17:30";"23.2";"706.9";"759.2";"";"55";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.7";"";"";"";"";"";"";
"25.12.2017 08:30";"16.2";"708.7";"762.4";"";"60";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.3";"";"";"";"";"";"";
"24.12.2017 17:30";"24.4";"706.5";"758.5";"";"46";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.0";"";"";"";"";"";"";
"24.12.2017 08:30";"16.0";"708.5";"762.3";"";"54";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.7";"";"";"";"";"";"";
"23.12.2017 17:30";"23.0";"707.1";"759.4";"";"69";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.0";"";"";"";"";"";"";
"23.12.2017 08:30";"15.0";"708.6";"762.6";"";"62";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"7.8";"";"";"";"";"";"";
"22.12.2017 17:30";"24.4";"708.5";"760.7";"";"46";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.0";"";"";"";"";"";"";
"22.12.2017 08:30";"16.2";"710.6";"764.5";"";"65";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"12.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.6";"";"";"";"";"";"";
"21.12.2017 17:30";"25.4";"709.1";"761.1";"";"48";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.7";"";"";"";"";"";"";
"21.12.2017 08:30";"15.0";"711.0";"765.1";"";"74";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.3";"";"";"";"";"";"";
"20.12.2017 17:30";"24.0";"709.2";"761.5";"";"55";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.3";"";"";"";"";"";"";
"20.12.2017 08:30";"15.4";"710.9";"765.0";"";"61";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"11.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"19.12.2017 17:30";"23.4";"709.2";"761.6";"";"52";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.1";"";"";"";"";"";"";
"19.12.2017 08:30";"16.0";"710.6";"764.5";"";"44";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"10.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"3.7";"";"";"";"";"";"";
"18.12.2017 17:30";"20.4";"710.1";"763.1";"";"45";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"23.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.9";"";"";"";"";"";"";
"18.12.2017 08:30";"16.2";"711.5";"765.4";"";"46";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"10.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"4.5";"";"";"";"";"";"";
"17.12.2017 17:30";"24.0";"709.9";"762.3";"";"42";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.1";"";"";"";"";"";"";
"17.12.2017 08:30";"16.4";"712.1";"766.0";"";"53";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"6.8";"";"";"";"";"";"";
"16.12.2017 17:30";"25.4";"708.3";"760.3";"";"53";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"15.2";"";"";"";"";"";"";
"16.12.2017 08:30";"18.2";"710.7";"764.2";"";"72";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.1";"";"";"";"";"";"";
"15.12.2017 17:30";"25.6";"708.6";"760.6";"";"56";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.2";"";"";"";"";"";"";
"15.12.2017 08:30";"17.0";"709.6";"763.2";"";"81";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"14.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.6";"";"";"";"";"";"";
"14.12.2017 17:30";"25.6";"708.0";"759.9";"";"56";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"16.2";"";"";"";"";"";"";
"14.12.2017 08:30";"19.0";"708.6";"761.8";"";"66";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.5";"";"";"";"";"";"";
