# Weather station Una, India, WMO_ID=42077,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42077&lang=en
#
"Local time in Una";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"19.0";"";"";"";"58";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"22.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.5";"";"";"";"";"";"";
"31.12.2017 08:30";"8.0";"";"";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"5.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"5.8";"";"";"";"";"";"";
"30.12.2017 17:30";"19.2";"";"";"";"55";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"23.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.9";"";"";"";"";"";"";
"30.12.2017 08:30";"7.4";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.6";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"29.12.2017 17:30";"19.8";"";"";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"29.12.2017 08:30";"7.2";"";"";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.7";"";"";"";"";"";"";"4.0";"4.4";"";"";"";"";"";"";
"28.12.2017 17:30";"20.6";"";"";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"28.12.2017 08:30";"7.0";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"27.12.2017 17:30";"18.2";"";"";"";"61";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"21.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.4";"";"";"";"";"";"";
"27.12.2017 08:30";"9.4";"";"";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"7.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.4";"";"";"";"";"";"";
"26.12.2017 17:30";"20.2";"";"";"";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.2";"";"";"";"";"";"";
"26.12.2017 08:30";"8.0";"";"";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"5.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.8";"";"";"";"";"";"";
