# Weather station Sheopur, India, WMO_ID=42456,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42456&lang=en
#
"Local time in Sheopur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.4";"739.8";"760.2";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"21.6";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"31.12.2017 08:30";"12.2";"743.3";"764.5";"";"86";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Drizzle.";"10.4";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"30.12.2017 17:30";"22.0";"741.3";"761.7";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"30.12.2017 08:30";"11.6";"743.5";"764.8";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"10.0";"";"";"";"";"";"";"2.0";"7.4";"";"";"";"";"";"";
"29.12.2017 17:30";"22.0";"741.4";"761.8";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.4";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"29.12.2017 08:30";"11.0";"743.5";"764.8";"";"80";"Wind blowing from the south-west";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"9.2";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"28.12.2017 17:30";"21.8";"742.0";"762.5";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.4";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"28.12.2017 08:30";"11.4";"743.9";"765.2";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"27.12.2017 17:30";"22.0";"742.1";"762.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"27.12.2017 08:30";"10.4";"744.8";"766.2";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
