# Weather station Barmer, India, WMO_ID=42435,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42435&lang=en
#
"Local time in Barmer";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2017 17:30";"26.0";"744.8";"761.4";"-0.3";"38";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.7";"";"";"";"";"";"";
"27.12.2017 14:30";"29.8";"745.1";"761.5";"-2.5";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"27.12.2017 11:30";"23.4";"747.6";"764.4";"0.3";"34";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.8";"";"";"";"";"";"";
"27.12.2017 08:30";"13.4";"746.8";"764.2";"1.1";"58";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.3";"";"";"";"";"";"";
"27.12.2017 05:30";"11.6";"745.7";"763.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"26.12.2017 20:30";"18.4";"747.1";"764.2";"1.4";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"26.12.2017 17:30";"25.4";"745.7";"762.4";"-0.9";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"26.12.2017 14:30";"29.4";"746.6";"763.0";"-2.1";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"26.12.2017 11:30";"24.4";"748.7";"765.5";"0.5";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"26.12.2017 08:30";"13.4";"748.2";"765.6";"0.7";"58";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.3";"";"";"";"";"";"";
"26.12.2017 05:30";"14.2";"747.5";"764.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"25.12.2017 20:30";"18.2";"747.9";"765.0";"1.6";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.1";"";"";"";"";"";"";
"25.12.2017 17:30";"25.4";"746.3";"763.0";"";"34";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.4";"";"";"";"";"";"";
"25.12.2017 11:30";"24.6";"748.9";"765.7";"0.6";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"25.12.2017 08:30";"13.6";"748.3";"765.7";"1.5";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"25.12.2017 05:30";"14.4";"746.8";"764.1";"";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"24.12.2017 20:30";"18.4";"745.6";"762.7";"1.9";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"24.12.2017 17:30";"25.4";"743.7";"760.3";"-0.6";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"24.12.2017 14:30";"28.6";"744.3";"760.7";"-2.2";"28";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"24.12.2017 11:30";"24.4";"746.5";"763.2";"2.4";"34";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"24.12.2017 08:30";"12.4";"744.1";"761.5";"0.0";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"24.12.2017 05:30";"12.4";"744.1";"761.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"23.12.2017 20:30";"18.0";"745.1";"762.2";"1.0";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"23.12.2017 17:30";"24.6";"744.1";"760.8";"-0.7";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"23.12.2017 14:30";"29.2";"744.8";"761.2";"-2.7";"25";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"23.12.2017 11:30";"23.6";"747.5";"764.3";"0.3";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"23.12.2017 08:30";"14.4";"747.2";"764.5";"0.7";"58";"Wind blowing from the south-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.8";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"23.12.2017 05:30";"14.0";"746.5";"763.8";"";"61";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.6";"";"";"";"";"";"";
"22.12.2017 20:30";"19.0";"748.0";"765.1";"0.5";"50";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.2";"";"";"";"";"";"";
"22.12.2017 17:30";"25.0";"747.5";"764.2";"";"42";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.2";"";"";"";"";"";"";
"22.12.2017 11:30";"24.6";"750.2";"767.0";"0.2";"40";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.2";"";"";"";"";"";"";
"22.12.2017 08:30";"15.6";"750.0";"767.3";"1.0";"67";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.4";"";"";"";"";"";"";
"22.12.2017 05:30";"15.6";"749.0";"766.3";"";"65";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.0";"";"";"";"";"";"";
"21.12.2017 20:30";"20.2";"749.3";"766.3";"0.9";"41";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.3";"";"";"";"";"";"";
"21.12.2017 17:30";"26.6";"748.4";"765.0";"-0.5";"31";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.1";"";"";"";"";"";"";
"21.12.2017 14:30";"28.6";"748.9";"765.4";"-2.4";"26";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.0";"";"";"";"";"";"";
"21.12.2017 11:30";"24.0";"751.3";"768.2";"0.5";"36";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.8";"";"";"";"";"";"";
"21.12.2017 08:30";"14.4";"750.8";"768.2";"1.2";"62";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"13.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.1";"";"";"";"";"";"";
"21.12.2017 05:30";"15.4";"749.6";"766.9";"";"55";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.4";"";"";"";"";"";"";
"20.12.2017 20:30";"20.2";"749.8";"766.8";"1.4";"55";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"10.7";"";"";"";"";"";"";
"20.12.2017 17:30";"24.8";"748.4";"765.1";"0.2";"37";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"27.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.0";"";"";"";"";"";"";
"20.12.2017 14:30";"27.6";"748.2";"764.8";"-2.9";"26";"Wind blowing from the east-northeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"6.4";"";"";"";"";"";"";
"20.12.2017 11:30";"23.0";"751.1";"768.0";"1.0";"32";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"5.6";"";"";"";"";"";"";
"20.12.2017 08:30";"15.4";"750.1";"767.4";"1.1";"51";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"5.3";"";"";"";"";"";"";
"20.12.2017 05:30";"16.0";"749.0";"766.3";"";"60";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.1";"";"";"";"";"";"";
"19.12.2017 17:30";"25.6";"748.1";"764.8";"-0.3";"31";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.0";"";"";"";"";"";"";
"19.12.2017 14:30";"28.8";"748.4";"764.9";"-2.3";"22";"Wind blowing from the east-northeast";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.8";"";"";"";"";"";"";
"19.12.2017 11:30";"22.8";"750.7";"767.6";"0.5";"28";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.4";"";"";"";"";"";"";
"19.12.2017 08:30";"13.4";"750.2";"767.7";"1.3";"50";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"11.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.1";"";"";"";"";"";"";
"19.12.2017 05:30";"13.0";"748.9";"766.4";"";"47";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.0";"";"";"";"";"";"";
"18.12.2017 20:30";"19.0";"750.0";"767.1";"1.2";"37";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.9";"";"";"";"";"";"";
"18.12.2017 17:30";"24.8";"748.8";"765.6";"-0.5";"32";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.8";"";"";"";"";"";"";
"18.12.2017 14:30";"28.4";"749.3";"765.9";"-2.1";"21";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.0";"";"";"";"";"";"";
"18.12.2017 11:30";"21.6";"751.4";"768.4";"0.3";"26";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.2";"";"";"";"";"";"";
"18.12.2017 08:30";"12.8";"751.1";"768.6";"1.4";"43";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"0.4";"";"";"";"";"";"";
"18.12.2017 05:30";"13.4";"749.7";"767.2";"";"40";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"0.0";"";"";"";"";"";"";
"17.12.2017 20:30";"16.4";"749.7";"767.0";"1.0";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.8";"";"";"";"";"";"";
"17.12.2017 17:30";"23.8";"748.7";"765.5";"-0.8";"25";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"2.6";"";"";"";"";"";"";
"17.12.2017 14:30";"26.0";"749.5";"766.2";"-2.4";"23";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.4";"";"";"";"";"";"";
"17.12.2017 11:30";"20.0";"751.9";"769.0";"-0.2";"31";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.4";"";"";"";"";"";"";
"17.12.2017 08:30";"10.6";"752.1";"769.8";"2.7";"52";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"4.0";"1.0";"";"";"";"";"";"";
"17.12.2017 05:30";"10.0";"749.4";"767.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.7";"";"";"";"";"";"";
"16.12.2017 20:30";"18.4";"749.4";"766.5";"-0.1";"51";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.9";"";"";"";"";"";"";
"16.12.2017 17:30";"22.4";"749.5";"766.4";"0.0";"29";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.3";"";"";"";"";"";"2.0";"3.3";"";"";"";"";"";"";
"16.12.2017 14:30";"24.0";"749.5";"766.3";"-2.7";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.5";"";"";"";"";"";"";
"16.12.2017 11:30";"19.6";"752.2";"769.3";"0.8";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"1.7";"";"";"";"";"";"";
"16.12.2017 08:30";"11.2";"751.4";"769.0";"1.5";"55";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.1";"";"";"";"";"";"";"2.0";"2.4";"";"";"";"";"";"";
