# Weather station Dhubri, India, WMO_ID=42404,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42404&lang=en
#
"Local time in Dhubri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"22.6";"";"";"";"69";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.4";"";"";"";"";"";"2.0";"16.7";"";"";"";"";"";"";
"31.12.2017 14:30";"23.8";"";"";"";"67";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"31.12.2017 11:30";"21.4";"";"";"";"64";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"31.12.2017 08:30";"18.6";"";"";"";"77";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.7";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"30.12.2017 17:30";"22.8";"";"";"";"68";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.6";"";"";"";"";"";"";
"30.12.2017 14:30";"23.4";"";"";"";"66";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"30.12.2017 11:30";"21.8";"";"";"";"69";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"30.12.2017 08:30";"18.2";"";"";"";"81";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.9";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"29.12.2017 17:30";"23.0";"";"";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.7";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"29.12.2017 14:30";"24.0";"";"";"";"68";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"29.12.2017 11:30";"21.8";"";"";"";"74";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"29.12.2017 08:30";"18.6";"";"";"";"87";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.1";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"28.12.2017 17:30";"22.8";"";"";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.7";"";"";"";"";"";"2.0";"17.0";"";"";"";"";"";"";
"28.12.2017 14:30";"24.0";"";"";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
