# Weather station Silchar, India, WMO_ID=42619,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42619&lang=en
#
"Local time in Silchar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"23.4";"755.8";"757.6";"-0.5";"81";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"20.0";"";"";"";"";"";"";
"31.12.2017 14:30";"27.4";"756.3";"758.1";"-2.2";"58";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.3";"";"";"";"";"";"";
"31.12.2017 11:30";"27.0";"758.5";"760.3";"-1.5";"52";"Wind blowing from the east-northeast";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"31.12.2017 08:30";"19.4";"760.0";"761.9";"1.3";"87";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.1";"";"";"";"";"";"";
"31.12.2017 05:30";"15.4";"758.7";"760.6";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.7";"";"";"";"";"";"";
"30.12.2017 17:30";"22.0";"757.7";"759.5";"0.2";"76";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"30.12.2017 14:30";"26.6";"757.5";"759.3";"-2.4";"48";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.7";"";"";"";"";"";"";
"30.12.2017 11:30";"25.8";"759.9";"761.7";"-1.6";"46";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.2";"";"";"";"";"";"";
"30.12.2017 08:30";"17.8";"761.5";"763.4";"1.5";"82";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.7";"";"";"";"";"";"";
"30.12.2017 05:30";"12.2";"760.0";"761.9";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"29.12.2017 17:30";"20.8";"759.2";"761.1";"0.1";"78";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"29.12.2017 14:30";"26.0";"759.1";"760.9";"-2.0";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"29.12.2017 11:30";"24.4";"761.1";"762.9";"-0.9";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"29.12.2017 08:30";"17.0";"762.0";"763.9";"1.6";"94";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"2.0";"16.0";"";"";"";"";"";"";
"29.12.2017 05:30";"13.6";"760.4";"762.3";"";"98";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"13.3";"";"";"";"";"";"";
"28.12.2017 17:30";"21.4";"758.6";"760.4";"0.9";"81";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"";"";"";"";"";"2.0";"17.9";"";"";"";"";"";"";
"28.12.2017 14:30";"26.6";"757.7";"759.5";"-1.7";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"28.12.2017 11:30";"27.0";"759.4";"761.2";"-1.4";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"28.12.2017 08:30";"17.6";"760.8";"762.7";"2.1";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.8";"";"";"";"";"";"";"2.0";"15.6";"";"";"";"";"";"";
"28.12.2017 05:30";"13.4";"758.7";"760.6";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"13.4";"";"";"";"";"";"";
"27.12.2017 17:30";"21.0";"758.9";"760.8";"1.1";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.0";"";"";"";"";"";"2.0";"17.8";"";"";"";"";"";"";
"27.12.2017 14:30";"25.0";"757.8";"759.6";"-2.0";"64";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
