# Weather station Tuticorin, India, WMO_ID=43379,selection from 14.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43379&lang=en
#
"Local time in Tuticorin";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.4";"755.3";"755.5";"";"78";"Wind blowing from the east-southeast";"5";"";"";"40%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.3";"";"";"";"";"";"";
"31.12.2017 08:30";"24.6";"759.5";"759.7";"";"88";"Wind blowing from the north-northwest";"3";"";"";"60%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"22.5";"";"";"";"";"";"";
"30.12.2017 17:30";"27.8";"756.8";"757.0";"";"77";"Wind blowing from the east-southeast";"5";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"23.4";"";"";"";"";"";"";
"30.12.2017 08:30";"24.4";"759.9";"760.1";"";"82";"Wind blowing from the north-northeast";"3";"";"";"50%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.1";"";"";"";"";"";"";
"29.12.2017 17:30";"27.8";"757.6";"757.8";"";"66";"Wind blowing from the east-southeast";"4";"";"";"40%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"20.9";"";"";"";"";"";"";
"29.12.2017 08:30";"24.6";"760.6";"760.8";"";"77";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"20.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"20.3";"";"";"";"";"";"";
"28.12.2017 17:30";"27.2";"756.9";"757.1";"";"67";"Wind blowing from the east";"7";"";"";"40%.";" ";"";"";"";"29.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"20.5";"";"";"";"";"";"";
"28.12.2017 08:30";"25.0";"760.4";"760.6";"";"79";"Wind blowing from the north-northeast";"5";"";"";"40%.";" ";"";"";"22.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"21.1";"";"";"";"";"";"";
"27.12.2017 17:30";"28.2";"756.5";"756.7";"";"64";"Wind blowing from the east";"7";"";"";"40%.";" ";"";"";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"20.7";"";"";"";"";"";"";
"27.12.2017 08:30";"25.0";"760.4";"760.6";"";"83";"Wind blowing from the north-northwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"22.0";"";"";"";"";"";"";
