# Weather station Paramati, India, WMO_ID=43342,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43342&lang=en
#
"Local time in Paramati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"28.4";"742.0";"757.1";"";"49";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.6";"";"";"";"";"";"";
"31.12.2017 08:30";"21.0";"737.5";"753.1";"";"93";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"17.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.8";"";"";"";"";"";"";
"30.12.2017 17:30";"30.0";"741.7";"756.9";"";"65";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"30.12.2017 08:30";"21.0";"745.2";"760.9";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"29.12.2017 17:30";"28.4";"742.7";"758.0";"";"49";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.6";"";"";"";"";"";"";
"29.12.2017 08:30";"21.0";"745.5";"761.2";"";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"16.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.7";"";"";"";"";"";"";
"28.12.2017 17:30";"27.2";"742.5";"757.8";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"28.12.2017 08:30";"20.2";"745.6";"761.4";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"27.12.2017 17:30";"28.4";"741.9";"757.1";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"17.7";"";"";"";"";"";"";
"27.12.2017 08:30";"21.0";"746.0";"761.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
