# Weather station Wardha, India, WMO_ID=42939,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42939&lang=en
#
"Local time in Wardha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.6";"734.2";"758.3";"-0.8";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"31.12.2017 14:30";"28.6";"735.0";"759.0";"-2.9";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"31.12.2017 11:30";"25.2";"737.9";"762.3";"-0.1";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"31.12.2017 08:30";"13.0";"738.0";"763.4";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"30.12.2017 17:30";"28.5";"735.4";"759.4";"-1.0";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"30.12.2017 14:30";"28.5";"736.4";"760.5";"-1.7";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"30.12.2017 11:30";"25.5";"738.1";"762.5";"-0.4";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"2.0";"8.9";"";"";"";"";"";"";
"30.12.2017 08:30";"12.2";"738.5";"764.0";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"29.12.2017 17:30";"27.8";"735.6";"759.7";"-0.6";"23";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.9";"";"";"";"";"";"";
"29.12.2017 14:30";"29.1";"736.2";"760.2";"-2.4";"21";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.6";"";"";"";"";"";"";
"29.12.2017 11:30";"25.0";"738.6";"763.0";"0.6";"28";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"2.0";"5.4";"";"";"";"";"";"";
"29.12.2017 08:30";"12.7";"738.0";"763.5";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"2.0";"5.8";"";"";"";"";"";"";
"28.12.2017 17:30";"28.0";"735.3";"759.4";"-0.7";"22";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"28.12.2017 14:30";"29.0";"736.0";"760.0";"-2.2";"22";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.2";"";"";"";"";"";"";
"28.12.2017 11:30";"25.5";"738.2";"762.6";"-0.6";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.9";"";"";"";"";"";"";
"28.12.2017 08:30";"14.4";"738.8";"764.1";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"2.0";"4.5";"";"";"";"";"";"";
"27.12.2017 17:30";"27.2";"735.7";"759.9";"-0.3";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"4.4";"";"";"";"";"";"";
"27.12.2017 14:30";"28.7";"736.0";"760.0";"-3.5";"17";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.5";"";"";"";"";"";"";
"27.12.2017 11:30";"25.7";"739.5";"763.9";"0.6";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"27.12.2017 08:30";"12.5";"738.9";"764.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.1";"";"";"";"";"";"";"2.0";"5.3";"";"";"";"";"";"";
"26.12.2017 17:30";"26.5";"736.5";"760.7";"-0.3";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"26.12.2017 14:30";"28.4";"736.8";"760.9";"-1.6";"18";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"1.9";"";"";"";"";"";"";
"26.12.2017 11:30";"25.4";"738.4";"762.8";"-0.3";"23";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.9";"";"";"";"";"";"";
