# Weather station Cherrapunji, India, WMO_ID=42515,selection from 26.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42515&lang=en
#
"Local time in Cherrapunji";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"15.2";"";"";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"23.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.0";"";"";"";"";"";"";
"31.12.2017 11:30";"20.2";"";"";"";"43";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.1";"";"";"";"";"";"";
"31.12.2017 08:30";"16.0";"";"";"";"65";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"8.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.4";"";"";"";"";"";"";
"30.12.2017 17:30";"15.4";"";"";"";"66";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.1";"";"";"";"";"";"";
"30.12.2017 11:30";"21.6";"";"";"";"28";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"2.1";"";"";"";"";"";"";
"30.12.2017 08:30";"16.4";"";"";"";"29";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"8.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-1.8";"";"";"";"";"";"";
"29.12.2017 17:30";"14.6";"";"";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.2";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"29.12.2017 11:30";"21.0";"";"";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"29.12.2017 08:30";"16.4";"";"";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"8.3";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"28.12.2017 17:30";"14.4";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.9";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"28.12.2017 11:30";"21.6";"";"";"";"41";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"28.12.2017 08:30";"17.0";"";"";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"4.0";"2.3";"";"";"";"";"";"";
"27.12.2017 17:30";"15.4";"";"";"";"90";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"22.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.7";"";"";"";"";"";"";
"27.12.2017 11:30";"20.6";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"27.12.2017 08:30";"15.6";"";"";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"26.12.2017 17:30";"15.2";"";"";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"21.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.1";"";"";"";"";"";"";
"26.12.2017 11:30";"19.0";"";"";"";"60";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.9";"";"";"";"";"";"";
"26.12.2017 08:30";"15.0";"";"";"";"76";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"8.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.7";"";"";"";"";"";"";
"25.12.2017 17:30";"15.4";"";"";"";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.0";"";"";"";"";"";"";
"25.12.2017 11:30";"18.8";"";"";"";"55";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.4";"";"";"";"";"";"";
