"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"31.12.2017 20:30","9.4","687.2","","0.1","75","Calm, no wind","0","","","40%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","5.2","","","","","","",
"31.12.2017 17:30","14.4","687.1","","-0.6","57","Calm, no wind","0","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","19.2","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","5.9","","","","","","",
"31.12.2017 14:30","17.4","687.7","","-2.6","44","Wind blowing from the north-west","1","","","60%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","4.9","","","","","","",
"31.12.2017 11:30","10.8","690.3","","0.5","74","Wind blowing from the north-west","1","","","50%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","6.4","","","","","","",
"31.12.2017 08:30","3.2","689.8","","1.3","97","Calm, no wind","0","","","40%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","1.6","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","2.7","","","","","","",
"31.12.2017 05:30","3.8","688.5","","","94","Calm, no wind","0","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","1.0","2.9","","","","","","",
"30.12.2017 20:30","8.8","688.9","","0.7","75","Wind blowing from the south","1","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","4.5","","","","","","",
"30.12.2017 17:30","14.2","688.2","","-0.7","57","Wind blowing from the south","1","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","22.0","","","","","","2.0","5.8","","","","","","",
"30.12.2017 14:30","19.0","688.9","","-2.2","34","Wind blowing from the south-west","1","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","2.6","","","","","","",
"30.12.2017 11:30","12.7","691.1","","0.5","55","Wind blowing from the north-west","1","","","10%  or less, but not 0","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","3.9","","","","","","",
"30.12.2017 08:30","2.6","690.6","","1.2","97","Calm, no wind","0","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","1.3","","","","","","","1.0","2.1","","","","","","",
"30.12.2017 05:30","3.0","689.4","","","90","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","1.5","","","","","","",
"29.12.2017 20:30","9.2","689.5","","1.1","63","Calm, no wind","0","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","2.5","","","","","","",
"29.12.2017 17:30","14.0","688.4","","-0.6","53","Wind blowing from the south-east","1","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","23.2","","","","","","1.0","4.6","","","","","","",
"29.12.2017 14:30","19.8","689.0","","-1.9","38","Calm, no wind","0","","","10%  or less, but not 0","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","1000-1500","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","5.0","","","","","","",
"29.12.2017 11:30","13.2","690.9","","0.1","60","Wind blowing from the north-west","1","","","no clouds","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","1.0","5.5","","","","","","",
"29.12.2017 08:30","1.8","690.8","","0.7","97","Calm, no wind","0","","","no clouds","Mist. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","0.7","","","","","","","1.0","1.3","","","","","","",
"29.12.2017 05:30","2.6","690.1","","","97","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","2.1","","","","","","",
"28.12.2017 20:30","9.8","689.4","","0.8","78","Calm, no wind","0","","","no clouds","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","2.0","6.1","","","","","","",
"28.12.2017 17:30","13.8","688.6","","-0.1","59","Wind blowing from the south-east","1","","","no clouds","Haze. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","20.8","","","","","","1.0","5.9","","","","","","",
