# Weather station Calicut (airport), India, WMO_ID=43320,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43320&lang=en
#
"Local time in Calicut (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"23.4";"749.8";"759.1";"";"67";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"30.12.2017 17:30";"29.0";"746.8";"755.9";"";"48";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"16.9";"";"";"";"";"";"";
"30.12.2017 08:30";"22.4";"750.4";"759.7";"";"55";"Wind blowing from the east";"3";"";"";"50%.";" ";"";"";"20.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"13.0";"";"";"";"";"";"";
"29.12.2017 17:30";"29.4";"747.7";"756.8";"";"40";"Wind blowing from the south-west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.6";"";"";"";"";"";"";
"29.12.2017 08:30";"22.8";"750.2";"759.5";"";"59";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"20.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.3";"";"";"";"";"";"";
"28.12.2017 17:30";"29.6";"746.9";"756.0";"";"51";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"28.12.2017 08:30";"23.0";"750.0";"759.3";"";"65";"Wind blowing from the east";"3";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.2";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.1";"";"";"";"";"";"";
"27.12.2017 17:30";"31.0";"746.4";"755.4";"";"55";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"33.9";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"27.12.2017 08:30";"24.2";"750.7";"760.0";"";"69";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"26.12.2017 17:30";"29.0";"747.5";"756.6";"";"67";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"26.12.2017 08:30";"24.6";"750.1";"759.4";"";"83";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"25.12.2017 17:30";"28.8";"747.6";"756.7";"";"62";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"25.12.2017 08:30";"24.0";"749.9";"759.2";"";"66";"Wind blowing from the east-northeast";"3";"";"";"20–30%.";" ";"";"";"20.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.2";"";"";"";"";"";"";
"24.12.2017 17:30";"31.0";"746.5";"755.5";"";"47";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"24.12.2017 08:30";"24.0";"749.5";"758.8";"";"71";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"23.12.2017 17:30";"29.8";"746.5";"755.6";"";"56";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"33.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"23.12.2017 08:30";"24.4";"749.4";"758.7";"";"68";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"22.12.2017 17:30";"30.4";"747.9";"757.0";"";"56";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"22.12.2017 08:30";"25.0";"751.1";"760.4";"";"68";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"21.9";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"21.12.2017 17:30";"31.0";"748.8";"757.9";"";"46";"Wind blowing from the west-southwest";"3";"";"";"40%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.9";"";"";"";"";"";"";
"21.12.2017 08:30";"24.0";"752.0";"761.3";"";"68";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"21.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"20.12.2017 17:30";"30.0";"748.6";"757.7";"";"53";"variable wind direction";"2";"";"";"40%.";" ";"";"";"";"33.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.3";"";"";"";"";"";"";
"20.12.2017 08:30";"24.4";"751.7";"761.0";"";"76";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.8";"";"";"";"";"";"";
"19.12.2017 17:30";"28.8";"748.7";"757.8";"";"53";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"19.12.2017 08:30";"25.0";"751.4";"760.7";"";"55";"Wind blowing from the east-southeast";"3";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"15.4";"";"";"";"";"";"";
"18.12.2017 17:30";"30.0";"749.1";"758.2";"";"49";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"18.2";"";"";"";"";"";"";
"18.12.2017 08:30";"23.4";"753.0";"762.3";"";"69";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.3";"";"";"";"";"";"";
"17.12.2017 17:30";"31.4";"747.8";"756.8";"";"46";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"17.12.2017 08:30";"24.8";"751.7";"761.0";"";"62";"Wind blowing from the east";"4";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"16.12.2017 17:30";"32.0";"748.3";"757.3";"";"48";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"33.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
