# Weather station Midnapore, India, WMO_ID=42803,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42803&lang=en
#
"Local time in Midnapore";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.0";"754.5";"758.4";"";"56";"Calm, no wind";"0";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"26.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"4.0";"14.6";"";"";"";"";"";"";
"31.12.2017 08:30";"16.0";"758.7";"762.7";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.1";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"30.12.2017 17:30";"24.0";"756.2";"760.1";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.1";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"30.12.2017 08:30";"15.4";"759.2";"763.3";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.1";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"29.12.2017 17:30";"23.4";"756.9";"760.8";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"29.12.2017 08:30";"15.0";"759.8";"763.9";"";"89";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.0";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"28.12.2017 17:30";"23.8";"756.5";"760.4";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"28.12.2017 08:30";"15.4";"759.4";"763.5";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.1";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"27.12.2017 17:30";"23.4";"756.3";"760.2";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"27.12.2017 08:30";"15.4";"759.0";"763.1";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.1";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"26.12.2017 17:30";"22.0";"756.3";"760.2";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"26.12.2017 08:30";"15.4";"759.0";"763.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"25.12.2017 08:30";"15.8";"758.3";"762.3";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"24.12.2017 17:30";"23.2";"755.7";"759.6";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"24.12.2017 08:30";"15.8";"758.8";"762.8";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.6";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"23.12.2017 08:30";"17.4";"758.4";"762.4";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.3";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"22.12.2017 17:30";"24.0";"757.2";"761.1";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"22.12.2017 08:30";"17.4";"760.1";"764.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.3";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"21.12.2017 17:30";"22.4";"758.1";"762.1";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"21.12.2017 08:30";"16.0";"761.3";"765.4";"";"94";"Calm, no wind";"0";"";"";"100%.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.1";"";"";"";"";"";"";"0.5";"15.0";"";"";"";"";"";"";
"20.12.2017 17:30";"21.8";"758.9";"762.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"20.12.2017 08:30";"17.0";"761.8";"765.8";"";"94";"Calm, no wind";"0";"";"";"100%.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.1";"";"";"";"";"";"";"0.5";"16.0";"";"";"";"";"";"";
"19.12.2017 17:30";"22.4";"758.1";"762.1";"";"61";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"4.0";"14.6";"";"";"";"";"";"";
"19.12.2017 08:30";"15.0";"761.1";"765.2";"";"79";"Wind blowing from the north";"1";"";"";"40%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.3";"";"";"";"";"";"";
"18.12.2017 17:30";"21.8";"758.4";"762.4";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"18.12.2017 08:30";"15.2";"761.5";"765.6";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"17.12.2017 17:30";"22.8";"758.2";"762.1";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"17.12.2017 08:30";"17.6";"761.6";"765.6";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.1";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"16.12.2017 17:30";"25.4";"757.7";"761.6";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"16.12.2017 08:30";"18.8";"760.8";"764.8";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"15.12.2017 17:30";"24.8";"757.2";"761.1";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"15.12.2017 08:30";"20.0";"759.9";"763.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"14.12.2017 17:30";"25.4";"757.0";"760.9";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"14.12.2017 08:30";"20.0";"759.3";"763.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"13.12.2017 17:30";"26.4";"755.6";"759.5";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"13.12.2017 08:30";"20.4";"758.6";"762.6";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"12.12.2017 17:30";"25.8";"755.5";"759.4";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"12.12.2017 08:30";"21.2";"758.4";"762.4";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"11.12.2017 17:30";"26.4";"754.8";"758.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"11.12.2017 08:30";"22.8";"757.3";"761.2";"";"88";"Wind blowing from the north";"1";"";"";"40%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"21.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.7";"";"";"";"";"";"";
"10.12.2017 17:30";"23.0";"754.3";"758.2";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.5";"";"";"";"";"";"";
"10.12.2017 08:30";"20.4";"755.7";"759.7";"";"100";"Wind blowing from the north-west";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"19.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.4";"";"";"";"";"";"";
"09.12.2017 17:30";"20.0";"753.8";"757.8";"";"98";"Wind blowing from the north";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"20.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"19.7";"";"";"";"";"";"";
"09.12.2017 08:30";"20.4";"756.6";"760.6";"";"85";"Wind blowing from the north-east";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"20.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"17.8";"";"";"";"";"";"";
"08.12.2017 17:30";"22.6";"755.1";"759.0";"";"73";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"17.5";"";"";"";"";"";"";
"08.12.2017 08:30";"19.4";"757.3";"761.3";"";"81";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"4.0";"16.1";"";"";"";"";"";"";
"07.12.2017 17:30";"24.8";"754.6";"758.5";"";"61";"Calm, no wind";"0";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.7";"";"";"";"";"";"";
