# Weather station Dadeldhura, Nepal, WMO_ID=44404,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44404&lang=en
#
"Local time in Dadeldhura";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:45";"9.0";"608.7";"";"-1.1";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"14.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"4.3";"No precipitation";"9";"";"";"";"";
"31.12.2017 14:45";"13.6";"609.8";"";"-1.3";"43";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"1.0";"";"";"";"";"";"";
"31.12.2017 11:45";"13.0";"611.1";"";"0.2";"45";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"1.4";"";"";"";"";"";"";
"31.12.2017 08:45";"8.0";"610.9";"";"1.1";"50";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"5.1";"";"";"";"";"";"";"8.0";"-1.9";"No precipitation";"24";"";"";"";"";
"31.12.2017 05:45";"6.0";"609.8";"";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-3.0";"";"";"";"";"";"";
"30.12.2017 17:45";"10.4";"610.0";"";"-0.3";"58";"Wind blowing from the south-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"17.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.5";"No precipitation";"9";"";"";"";"";
"30.12.2017 14:45";"14.6";"610.3";"";"-2.1";"42";"Wind blowing from the north-west";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.7";"";"";"";"";"";"";
"30.12.2017 11:45";"14.6";"612.4";"";"0.6";"40";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.9";"";"";"";"";"";"";
"30.12.2017 08:45";"9.6";"611.8";"";"";"49";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"6.1";"";"";"";"";"";"";"8.0";"-0.8";"No precipitation";"24";"";"";"";"";
"30.12.2017 05:45";"6.3";"610.7";"";"";"63";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"6.0";"-0.2";"";"";"";"";"";"";
