# Weather station Mukteshwar / Kumaon, India, WMO_ID=42147,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42147&lang=en
#
"Local time in Mukteshwar / Kumaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 17:30";"10.6";"583.6";"";"-0.2";"61";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"16.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.3";"";"";"";"";"";"";
"28.12.2017 14:30";"14.4";"583.8";"";"-1.2";"33";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-1.7";"";"";"";"";"";"";
"28.12.2017 11:30";"13.6";"585.0";"";"0.6";"35";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-1.7";"";"";"";"";"";"";
"28.12.2017 08:30";"8.6";"584.4";"";"";"27";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"6.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-9.7";"";"";"";"";"";"";
"27.12.2017 17:30";"11.2";"583.4";"";"-0.1";"61";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"17.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.0";"";"";"";"";"";"";
"27.12.2017 14:30";"16.8";"583.5";"";"-1.2";"30";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-0.9";"";"";"";"";"";"";
"27.12.2017 11:30";"16.4";"584.7";"";"0.8";"29";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-1.6";"";"";"";"";"";"";
"27.12.2017 08:30";"12.0";"583.9";"";"";"22";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"7.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-9.1";"";"";"";"";"";"";
"26.12.2017 17:30";"11.0";"583.2";"";"-0.4";"42";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"17.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-1.5";"";"";"";"";"";"";
"26.12.2017 14:30";"15.0";"583.6";"";"-1.1";"36";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-0.2";"";"";"";"";"";"";
"26.12.2017 11:30";"15.0";"584.7";"";"0.8";"16";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-11.0";"";"";"";"";"";"";
"26.12.2017 08:30";"8.8";"583.9";"";"";"35";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"3.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-6.0";"";"";"";"";"";"";
"25.12.2017 17:30";"9.0";"582.8";"";"";"67";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"14.7";"";"";"";"";"";"4.0";"3.2";"";"";"";"";"";"";
"25.12.2017 11:30";"11.8";"583.8";"";"0.9";"33";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-3.9";"";"";"";"";"";"";
"25.12.2017 08:30";"6.8";"582.9";"";"";"54";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"2.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.0";"";"";"";"";"";"";
"24.12.2017 17:30";"11.0";"582.1";"";"-0.2";"46";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"16.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.4";"";"";"";"";"";"";
"24.12.2017 14:30";"15.0";"582.3";"";"-1.5";"37";"variable wind direction";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.3";"";"";"";"";"";"";
"24.12.2017 11:30";"15.2";"583.8";"";"0.8";"15";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-11.6";"";"";"";"";"";"";
"24.12.2017 08:30";"11.8";"583.0";"";"";"4";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"9.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-28.9";"";"";"";"";"";"";
"23.12.2017 17:30";"11.6";"581.7";"";"";"26";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"19.0";"";"";"";"";"";"10.0";"-7.2";"";"";"";"";"";"";
"23.12.2017 11:30";"17.2";"583.2";"";"0.5";"10";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-14.5";"";"";"";"";"";"";
"23.12.2017 08:30";"10.4";"582.7";"";"";"25";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"5.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-8.8";"";"";"";"";"";"";
"22.12.2017 17:30";"10.6";"583.8";"";"";"39";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"16.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-2.9";"";"";"";"";"";"";
"22.12.2017 11:30";"15.0";"585.5";"";"0.5";"27";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-3.9";"";"";"";"";"";"";
"22.12.2017 08:30";"9.4";"585.0";"";"";"25";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"5.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-9.9";"";"";"";"";"";"";
"21.12.2017 17:30";"12.2";"586.0";"";"-0.5";"39";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"18.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-1.5";"";"";"";"";"";"";
"21.12.2017 14:30";"17.0";"586.5";"";"-1.4";"35";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.2";"";"";"";"";"";"";
"21.12.2017 11:30";"15.6";"587.9";"";"0.8";"34";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-0.5";"";"";"";"";"";"";
"21.12.2017 08:30";"11.4";"587.1";"";"";"38";"variable wind direction";"1";"";"";"60%.";" ";"";"";"7.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-2.6";"";"";"";"";"";"";
"20.12.2017 17:30";"12.6";"585.9";"";"-0.3";"36";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"20.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-2.1";"";"";"";"";"";"";
"20.12.2017 14:30";"18.6";"586.2";"";"-1.4";"27";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-1.0";"";"";"";"";"";"";
"20.12.2017 11:30";"18.0";"587.6";"";"0.6";"32";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.0";"";"";"";"";"";"";
"20.12.2017 08:30";"11.0";"587.0";"";"";"41";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"8.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.0";"";"";"";"";"";"";
"19.12.2017 17:30";"12.2";"585.1";"";"-0.2";"31";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"20.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.6";"";"";"";"";"";"";
"19.12.2017 14:30";"17.8";"585.3";"";"-1.8";"25";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.4";"";"";"";"";"";"";
"19.12.2017 11:30";"17.6";"587.1";"";"0.6";"25";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.7";"";"";"";"";"";"";
"19.12.2017 08:30";"11.8";"586.5";"";"";"27";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"8.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-6.8";"";"";"";"";"";"";
"18.12.2017 17:30";"12.2";"585.4";"";"0.1";"37";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"20.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.1";"";"";"";"";"";"";
"18.12.2017 14:30";"18.6";"585.3";"";"-1.5";"22";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-3.6";"";"";"";"";"";"";
"18.12.2017 11:30";"18.4";"586.8";"";"0.4";"16";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-8.3";"";"";"";"";"";"";
"18.12.2017 08:30";"13.4";"586.4";"";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.3";"";"";"";"";"";"";"10.0";"-7.8";"";"";"";"";"";"";
"17.12.2017 17:30";"10.6";"585.0";"";"-0.4";"36";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"16.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-3.8";"";"";"";"";"";"";
"17.12.2017 14:30";"15.2";"585.4";"";"-1.2";"29";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-2.9";"";"";"";"";"";"";
"17.12.2017 11:30";"15.0";"586.6";"";"1.1";"24";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.4";"";"";"";"";"";"";
"17.12.2017 08:30";"12.2";"585.5";"";"";"16";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.3";"";"";"";"";"";"";"10.0";"-12.9";"";"";"";"";"";"";
"16.12.2017 17:30";"10.8";"584.2";"";"-0.3";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"15.5";"";"";"";"";"";"4.0";"-1.2";"";"";"";"";"";"";
"16.12.2017 14:30";"13.6";"584.5";"";"-1.4";"39";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-0.1";"";"";"";"";"";"";
"16.12.2017 11:30";"13.2";"585.9";"";"0.6";"25";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.5";"";"";"";"";"";"";
"16.12.2017 08:30";"10.4";"585.3";"";"";"18";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"4.7";"";"";"";"";"";"";"10.0";"-13.0";"";"";"";"";"";"";
"15.12.2017 17:30";"8.2";"584.7";"";"";"48";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"15.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.4";"";"";"";"";"";"";
"15.12.2017 11:30";"12.4";"585.6";"";"0.6";"26";"variable wind direction";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-6.5";"";"";"";"";"";"";
"15.12.2017 08:30";"8.2";"585.0";"";"";"23";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"2.8";"";"";"";"";"";"";"10.0";"-12.1";"";"";"";"";"";"";
"14.12.2017 17:30";"9.0";"584.3";"";"-0.1";"43";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"15.6";"";"";"";"";"";"4.0";"-3.1";"";"";"";"";"";"";
"14.12.2017 14:30";"14.6";"584.4";"";"-0.9";"31";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.6";"";"";"";"";"";"";
"14.12.2017 11:30";"12.6";"585.3";"";"0.8";"29";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-5.3";"";"";"";"";"";"";
"14.12.2017 08:30";"9.6";"584.5";"";"";"21";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"4.2";"";"";"";"";"";"";"10.0";"-11.6";"";"";"";"";"";"";
"13.12.2017 17:30";"6.8";"582.9";"";"";"80";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"11.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.5";"";"";"";"";"";"";
"13.12.2017 11:30";"8.0";"584.4";"";"0.8";"78";"Wind blowing from the east";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.3";"";"";"";"";"";"";
"13.12.2017 08:30";"5.2";"583.6";"";"";"97";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"4.8";"";"";"";"";"";"";
"12.12.2017 17:30";"6.2";"582.3";"";"-0.3";"97";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"8.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"5.8";"";"";"";"";"";"";
"12.12.2017 14:30";"7.4";"582.6";"";"-1.5";"85";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"5.0";"";"";"";"";"";"";
"12.12.2017 11:30";"7.0";"584.1";"";"";"90";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"5.4";"";"";"";"";"";"";
"12.12.2017 08:30";"5.4";"583.8";"";"";"97";"Wind blowing from the north-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Rain.";"Fog or ice fog or thick haze.";"4.3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"5.0";"";"";"";"";"";"";
"11.12.2017 17:30";"10.2";"582.3";"";"-0.8";"80";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"15.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.8";"";"";"";"";"";"";
"11.12.2017 14:30";"13.2";"583.1";"";"-1.4";"48";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.2";"";"";"";"";"";"";
"11.12.2017 11:30";"13.2";"584.5";"";"0.3";"53";"variable wind direction";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.7";"";"";"";"";"";"";
"11.12.2017 08:30";"11.0";"584.2";"";"";"59";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"6.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.3";"";"";"";"";"";"";
"10.12.2017 17:30";"11.4";"583.8";"";"-0.3";"46";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"15.5";"";"";"";"";"";"4.0";"0.1";"";"";"";"";"";"";
"10.12.2017 14:30";"15.2";"584.1";"";"-0.8";"48";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"10.12.2017 11:30";"12.2";"584.9";"";"0.2";"57";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.8";"";"";"";"";"";"";
"10.12.2017 08:30";"8.0";"584.7";"";"";"97";"Wind blowing from the north-east";"3";"";"";"50%.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"7.6";"";"";"";"";"";"";
"09.12.2017 17:30";"9.2";"583.1";"";"0.0";"83";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"16.2";"";"";"";"";"";"2.0";"6.5";"";"";"";"";"";"";
